metric_id,resource_id,timestamp,cpu_utilization_pct,memory_utilization_pct,network_in_mbps,network_out_mbps,disk_utilization_pct,is_idle_flag
met-9eba6b3e,res-8e7a52848a,2026-03-21T00:00:00Z,49.09,55.03,242.7,9.91,44.84,False
met-3b4a8477,res-8e7a52848a,2026-03-18T00:00:00Z,14.86,43.32,160.76,270.14,85.41,False
met-d85cf365,res-8e7a52848a,2026-03-15T00:00:00Z,61.63,57.75,140.11,198.4,92.9,False
met-2527c936,res-8e7a52848a,2026-03-12T00:00:00Z,57.06,28.2,35.16,146.73,59.32,False
met-a15cea01,res-8e7a52848a,2026-03-09T00:00:00Z,69.91,71.97,196.29,247.39,38.16,False
met-757dc00f,res-8e7a52848a,2026-03-06T00:00:00Z,56.53,66.04,103.48,135.11,51.41,False
met-8416d909,res-8e7a52848a,2026-03-03T00:00:00Z,42.17,26.31,255.89,185.39,55.37,False
met-739f43b9,res-8e7a52848a,2026-02-28T00:00:00Z,81.35,68.19,355.83,158.01,62.07,False
met-935f8a25,res-8e7a52848a,2026-02-25T00:00:00Z,94.83,48.27,194.64,287.22,54.47,False
met-f6fee627,res-8e7a52848a,2026-02-22T00:00:00Z,52.98,53.7,341.18,260.96,71.06,False
met-59df9de1,res-2ba0bbb241,2026-03-21T00:00:00Z,28.79,48.73,479.1,87.31,42.39,False
met-e559537b,res-2ba0bbb241,2026-03-18T00:00:00Z,89.73,88.58,387.88,212.95,71.77,False
met-93be105d,res-2ba0bbb241,2026-03-15T00:00:00Z,49.01,48.38,284.64,280.67,74.12,False
met-47e99187,res-2ba0bbb241,2026-03-12T00:00:00Z,30.9,55.88,276.16,269.25,49.59,False
met-421d4514,res-2ba0bbb241,2026-03-09T00:00:00Z,36.06,71.85,81.77,17.41,91.65,False
met-e4cef3fa,res-2ba0bbb241,2026-03-06T00:00:00Z,12.11,83.92,331.43,225.46,36.05,False
met-f4de2ce5,res-2ba0bbb241,2026-03-03T00:00:00Z,79.52,31.69,285.39,85.13,28.19,False
met-36047a7c,res-2ba0bbb241,2026-02-28T00:00:00Z,71.68,29.14,34.88,272.03,36.93,False
met-8815af0f,res-2ba0bbb241,2026-02-25T00:00:00Z,25.96,18.02,171.84,144.36,71.09,False
met-b32e5af0,res-2ba0bbb241,2026-02-22T00:00:00Z,17.37,87.16,489.18,51.59,68.97,False
